,author,times,average
1579,"Prakash, Prashanth ",10,1670580
1580,Ashwin Chaugule ,16,2142147
1581,Carlos Garnacho ,1,0
1582,Sebastiaan Schalbroeck ,2,711347
1583,Guenther Wutz ,1,0
1585,William Roberts ,5,477559
1586,Vignesh R ,39,1157733
1587,Nariman Poushin ,6,7099102
1588,Anson Huang ,23,1783728
1589,Jose Abreu ,8,1809844
1590,Shrirang Bagul ,2,2502234
1591,Quorum Laval ,1,0
1592,"Peer, Ilan ",1,0
1593,Vlad Dogaru ,17,2744535
1594,Wei Jiangang ,7,4128163
1595,Gwenhael Goavec-Merou ,1,0
1596,Clifton Barnes ,10,1467125
1597,Ken Lin ,4,5561908
1598,Rob Rice ,4,932500
1599,Vidya Sagar Ravipati ,2,8240440
1600,Owen Lin ,1,0
1601,Andrea Merello ,7,3509448
1602,Eran Ben Elisha ,40,975048
1603,Mukesh Ojha ,1,0
1604,Zhu Yanjun ,4,7330637
1605,Jon Cooper ,7,6845070
1606,Edward Cree ,32,1324852
1607,Andrew Rybchenko ,13,518171
1608,Richard Alpe ,26,1642748
1609,Subash Abhinov Kasiviswanathan ,2,33578804
1610,Stefan Müller-Klieser ,1,0
1611,Andy Gross ,47,660618
1612,Shiraz Saleem ,10,1149375
1613,Mustafa Ismail ,15,147277
1614,Xing Zheng ,63,510063
1615,Kris Huang ,3,894641
1616,Simon Baatz ,1,0
1617,Tyrel Datwyler ,12,1445631
1618,Anjali Singhai Jain ,58,690528
1619,Xander Huff ,3,16225270
1620,Lucas De Marchi ,3,1
1621,José Roberto de Souza ,1,0
1622,Weifeng Voon ,6,1161952
1624,Johnny Chuang ,1,0
1625,Tatyana Nikolova ,8,5034819
1626,Alex Lyakas ,4,4495011
1627,Felipe F. Tonello ,26,1160783
1628,Jaret Cantu ,1,0
1629,Philipp Gesang ,1,0
1630,William Wu ,7,1238886
1632,Purna Chandra Mandal ,20,646866
1633,Mike Christie ,56,360988
1635,Stanimir Varbanov ,14,2098322
1636,Stephen Backway ,2,3724839
1637,Vince Hsu ,6,4879806
1638,Song Liu ,9,3298991
1639,"Pandiyan, Dhinakaran ",3,21
1640,Selvin Xavier ,8,3798543
1641,Xinliang Liu ,20,533311
1642,Frederic Dalleau ,1,0
1643,Dmitry Osipenko ,4,13770336
1644,Maxime Coquelin ,46,896130
1645,mhiramat@kernel.org ,2,1
1646,Florian Echtler ,7,6507839
1647,Ricardo Ribalda ,37,1113000
1648,Aleksandr Makarov ,2,340886
1649,Brian Gerst ,41,1073614
1650,Dong Jia Shi ,2,18204219
1651,Pankaj Dubey ,25,1646775
1652,twp@codeaurora.org ,2,4944370
1653,Rami Rosen ,8,5262384
1654,Phil Sutter ,53,708805
1655,Dong Bo ,1,0
1656,Alexandre Demers ,6,3937781
1657,Bharat Potnuri ,1,0
1658,Mark Yao ,35,923449
1659,Noralf Trønnes ,20,1843554
1660,Shreyas NC ,7,1782867
1661,Mathieu OTHACEHE ,17,1285139
1662,Ivan Khoronzhuk ,26,1468815
1663,Dave Watson ,1,0
1664,Mike Manning ,5,2605398
1665,Mikko Rapeli ,35,1113695
1666,Andrew Duggan ,23,1753611
1667,Mitko Haralanov ,66,399361
1668,Hugo Grostabussiat ,1,0
1669,Stefan Mavrodiev ,1,0
1670,oulijun ,5,59476
1671,Mengdong Lin ,41,1039631
1672,Henry Chen ,14,2745276
1673,CK Hu ,6,1869734
1674,Ding Tianhong ,3,14515275
1675,James Hartley ,5,2179512
1676,Matt Roper ,75,584052
1677,perr perr ,1,0
1678,Honghui Zhang ,6,1072270
1679,Daniel Mack ,8,5430073
1680,Beniamino Galvani ,3,1659727
1681,Kwangwoo Lee ,1,0
1682,Nicolas Saenz Julienne ,3,8330998
1683,Dinh Nguyen ,50,826200
1684,Boqun Feng ,26,1423064
1685,Zhiyong Tao ,2,79
1686,Jonas Rickert ,1,0
1687,Shiva Kerdel ,1,0
1688,Nipun Gupta ,1,0
1689,Parth Sane ,9,1577671
1690,Anuradha Weeraman ,1,0
1692,Edward Lipinsky ,3,20362930
1694,yeongjun Kim ,1,0
1695,Samuele Baisi ,1,0
1696,Prit Raj ,1,0
1697,Ming Yang ,1,0
1698,Michal Suchanek ,31,1267776
1699,Chen Feng ,18,1397856
1701,YU Bo ,1,0
1702,Joshua Houghton ,3,2741193
1703,Anthony Sheldon ,1,0
1704,Ravishankar Karkala Mallikarjunayya ,17,348108
1705,Cheah Kok Cheong ,2,24130776
1706,H Hartley Sweeten ,837,49503
1707,Emoly Liu ,7,1647163
1708,Hongchao Zhang ,3,8624922
1709,Andriy Skulysh ,4,3359688
1710,Brian Behlendorf ,1,0
1711,Christopher J. Morrone ,1,0
1712,Gregoire Pichon ,2,26049915
1713,Chris Horn ,4,5260164
1714,Ryan Haasken ,1,0
1715,Giorgio Dal Molin ,1,0
1716,Jelle van der Waa ,6,5686210
1717,Aleksei Mamlin ,15,2975535
1718,Daniel Romell ,1,0
1719,Don Skidmore ,41,946314
1720,Veola Nazareth ,2,20301590
1721,Shrikrishna Khare ,15,2223763
1722,William Tu ,4,2021693
1723,Haiyang Zhang ,16,2351681
1724,Avinash Dayanand ,8,1679345
1725,Jeff Kirsher ,5,10234943
1726,Catherine Sullivan ,42,947747
1727,Shunli Wang ,2,1719
1728,James Liao ,26,1629715
1729,Liav Rehana ,1,0
1730,Bob Liu ,28,1410039
1731,Luwei Kang ,1,0
1732,Bandan Das ,9,4611864
1733,Brendan Jackman ,1,0
1734,Punnaiah Choudary Kalluri ,4,11736976
1735,Michal Simek ,40,1044454
1736,Alexander Graf ,5,2023143
1737,Maya Erez ,27,846740
1738,Lazar Alexei ,1,0
1739,Eduardo Abinader ,6,1435578
1740,Lucile Quirion ,4,109923
1741,Daniel Verkamp ,1,0
1742,Xunlei Pang ,29,1402617
1744,Jiri Kosina ,44,963186
1745,Appana Durga Kedareswara Rao ,4,177658
1746,shubhrajyoti.datta@xilinx.com ,1,0
1747,Eric Wheeler ,6,2824722
1748,Kent Overstreet ,12,3370744
1749,Elaine Zhang ,15,1079351
1750,Jessica Yu ,13,1317739
1751,Eugeniu Rosca ,2,1494938
1752,baolex.ni ,1,0
1753,Maik Broemme ,1,0
1754,Ricardo Ribalda Delgado ,27,1477646
1755,Clint Taylor ,2,7511175
1756,Artemy Kovalyov ,3,2420119
1757,Ann Chen ,2,2298589
1758,Peter Feiner ,3,12388539
1759,Andi Shyti ,32,561710
1760,Morten Rasmussen ,11,2938164
1761,Madhavan Srinivasan ,14,2949590
1762,Tillmann Heidsieck ,6,5603018
1763,Jay Freyensee ,6,5097123
1764,Emily Deng ,16,52314
1765,Artur Paszkiewicz ,2,21042172
1766,Ilya Lesokhin ,2,2917065
1767,Joshua Clayton ,32,1047061
1768,Yuta Kobayashi ,1,0
1769,Pawel Moll ,15,2923679
1770,Kamlakant Patel ,15,2890836
1771,Jarod Wilson ,21,1961764
1772,Kshitiz Gupta ,1,0
1773,Felix Kuehling ,8,2946239
1774,Christoph Huber ,1,0
1775,Tim Harvey ,17,2376990
1776,Xiaodong Liu ,3,5304473
1777,Jim Lin ,3,3325492
1778,Alban Browaeys ,1,0
1779,sean.wang@mediatek.com ,5,50461
1780,Jonathan Yong ,1,0
1781,Laurence Rochfort ,1,0
1782,Ben Evans ,3,14477310
1783,He Kuang ,49,853407
1784,Anders Darander ,1,0
1785,Bing Sun ,1,0
1786,Gavin Li ,1,0
1787,Irina Tirdea ,47,895578
1788,Breno Lima ,2,44
1789,Vincent ,1,0
1790,Gerard Garcia ,1,0
1791,Øyvind A. Holm ,1,0
1792,Zyta Szpak ,1,0
1793,Jerin Jacob ,1,0
1794,Radoslaw Biernacki ,1,0
1795,Aaron Yue ,1,0
1796,Sargun Dhillon ,5,392128
1797,"Anna, Suman ",13,7
1798,Grzegorz Jaszczyk ,17,24042
1800,Netanel Belgazal ,1,0
1801,Sven Van Asbroeck ,1,0
1803,Greg Edwards ,1,0
1804,Riku Voipio ,13,3407361
1805,Jacopo Mondi ,17,1168661
1806,Sumit Semwal ,3,19753088
1807,Marcel Ziswiler ,36,1147978
1808,Marcus Cooper ,28,1514222
1809,Julius Niedworok ,2,51
1810,Michael Turquette ,21,1819517
1811,Jason Gerecke ,51,823429
1812,Roman Pen ,5,6977571
1813,Joe Lawrence ,6,3259166
1814,Max Staudt ,1,0
1815,Janusz Dziedzic ,23,1964619
1816,Xerox Lin ,1,0
1817,Mathieu Laurendeau ,1,0
1818,Binyamin Sharet ,1,0
1819,Winter Wang ,1,0
1820,Austin Christ ,1,0
1821,Alexey Kodanev ,2,38157361
1822,Peter Senna Tschudin ,22,1803240
1823,Martynas Pumputis ,1,0
1824,Adam Barth ,2,17557393
1825,Yinghai Lu ,16,2529628
1826,Harini Katakam ,8,5666883
1827,Steve Capper ,6,5430703
1828,Dave Weinstein ,1,0
1829,Jay Cornwall ,4,8642373
1830,Mike Travis ,23,1299993
1831,Georgi Dobrev ,2,11289734
1832,pan xinhui ,2,14526279
1833,Juri Lelli ,5,6958981
1834,Giovanni Gherdovich ,1,0
1835,Toshiaki Makita ,12,3418319
1836,Zefan Li ,1,0
1837,Tom Yan ,15,427293
1838,Mathias Koehrer ,1,0
1839,Nobuo Iwata ,4,3248156
1840,Jaewon Kim ,4,10525708
1841,Marc Ohlf ,1,0
1842,Xiao Han ,1,0
1843,Cristian Birsan ,6,3429266
1844,Will Thomas ,4,1
1845,Govindraj Raja ,3,6991289
1846,Yanjiang Jin ,2,7951636
1847,Cornelia Huck ,7,5799473
1848,Mahesh Salgaonkar ,12,2899837
1849,Guneshwor Singh ,5,4034965
1850,Philippe Bergheaud ,8,4257218
1851,Alastair D'Silva ,3,814141
1852,"Cooper Jr., Franklin ",8,1177199
1853,Vittorio Gambaletta (VittGam) ,4,4261697
1854,Piotr Karasinski ,1,0
1855,Bartlomiej Zolnierkiewicz ,59,641357
1856,Tuomas Tynkkynen ,16,2246051
1857,Simon Wunderlich ,31,1261162
1858,Matthias Schiffer ,11,2422226
1859,Markus Pargmann ,79,510295
1860,Antonio Quartulli ,38,1022563
1861,Alexey Kardashevskiy ,73,509979
1862,Dave Carroll ,2,2326651
1863,Michal Soltys ,7,555630
1864,Sathya Perla ,10,4388075
1865,Julian Anastasov ,20,1883725
1866,Andreas Ziegler ,10,1882740
1867,Daniel Kurtz ,13,3127869
1868,Yendapally Reddy Dhananjaya Reddy ,25,884155
1869,Pali Rohár ,50,796044
1870,Leo Liu ,15,2663611
1871,Eric Huang ,75,269408
1872,Andreas Färber ,22,747356
1873,Alexander Kurz ,7,1687793
1874,Alexey Klimov ,18,2022670
1875,Senthilnathan Veppur ,8,1841589
1876,Ramesh Babu ,6,8275873
1877,Kranthi G ,1,0
1878,Sheng-Hui J. Chu ,1,0
1879,Robert Deliën ,1,0
1880,Lubomir Rintel ,11,3680395
1881,Keith Packard ,3,16802394
1882,Heiko Stübner ,23,1698868
1883,Michele Di Giorgio ,3,6312779
1884,Akshay Adiga ,5,2173432
1885,Terry Heo ,2,22703916
1886,Alexey Obitotskiy ,2,1507539
1887,David Forster ,1,0
1888,Ian Wienand ,1,0
1889,Hiraku Toyooka ,4,11375647
1890,Jackson Chang ,1,0
1891,Allen Hubbe ,30,1191775
1892,Logan Gunthorpe ,14,72
1893,Masashi Honma ,5,779529
1894,AceLan Kao ,3,2728051
1895,Yoshinori Sato ,54,747613
1896,John Pittman ,1,0
1897,Paolo Valente ,2,21349628
1898,Hou Tao ,2,1366565
1899,Moni Shoua ,27,1397258
1900,Kamil Debski ,8,3981616
1901,Huang Shijie ,11,2798541
1902,Roland Dreier ,14,2847789
1903,Siva Reddy Kallam ,3,7619912
1904,Satish Baddipadige ,5,4742082
1905,Jarno Rajahalme ,14,942661
1906,Mika Penttilä ,4,5462245
1907,Maital Hahn ,2,1336309
1908,KT Liao ,2,5390370
1909,Robert Dolca ,12,2219052
1911,Vitaly Andrianov ,8,4943994
1912,Ryusuke Konishi ,38,630267
1913,Vikram Mulukutla ,1,0
1914,Chen Gang ,24,1702956
1915,Minchan Kim ,47,617864
1916,piaojun ,5,1615791
1917,Gang He ,7,1914556
1918,Don Hiatt ,1,0
1919,Grzegorz Heldt ,1,0
1920,Antoine Tenart ,56,698886
1921,Alim Akhtar ,40,714321
1922,Tom Zanussi ,31,722744
1923,Slava Shwartsman ,1,0
1924,Hariprasad S ,55,668847
1925,Mayeul Cantan ,1,0
1926,George Spelvin ,16,2264003
1927,Mikko Perttunen ,12,3582445
1928,Chun-Hao Lin ,12,1712068
1929,ZhengYuan Liu ,1,0
1930,Asias He ,9,2615337
1931,xypron.glpk@gmx.de ,23,820644
1932,Sam Bobroff ,2,30001511
1933,Andrew Jones ,3,2586901
1934,David Matlack ,6,7699388
1935,Robbie Ko ,4,52
1936,Alexander Stein ,19,2215382
1937,Anshuman Khandual ,39,956455
1938,Ingo Tuchscherer ,6,6947863
1939,Maarten ter Huurne ,14,1006470
1940,Sylvain Etienne ,1,0
1941,Iosif Harutyunov ,1,0
1942,Slava Grigorev ,8,2762806
1943,SF Markus Elfring ,2,28406534
1944,Nitin Gupta ,4,7715489
1945,Maxim Patlasov ,3,6924452
1946,Alexey Kuznetsov ,1,0
1948,Vincent StehlÃ© ,1,0
1949,Zhou Chengming ,3,11243748
1950,Dennis Chen ,3,2403302
1952,Scott Bauer ,2,2988093
1953,Richard Cochran ,52,728090
1954,Benoît Thébaudeau ,7,4358111
1955,Cameron Gutman ,5,1319300
1956,Gjorgji Rosikopulos ,11,1693781
1957,Hiroyuki Yokoyama ,1,0
1958,Tony Camuso ,2,15115726
1959,Libor Pechacek ,2,19816896
1960,Sam Mendoza-Jonas ,2,2
1961,Li RongQing ,20,2094390
1962,nimisolo ,1,0
1963,He Chunhui ,1,0
1964,Marcin Mielniczuk ,1,0
1965,Henning Schild ,1,0
1966,Song Shan Gong ,1,0
1967,Chandan Rajendra ,19,1338278
1968,Hans van Kranenburg ,1,0
1969,Vasundhara Volam ,5,9576247
1970,Cathy Avery ,3,12611349
1971,Georgi Djakov ,18,1953367
1972,Ritesh Harjani ,1,0
1973,Dong Aisheng ,49,812483
1974,Bojan Prtvar ,2,3
1975,Chaotian Jing ,24,1521510
1976,Jérôme Forissier ,1,0
1977,Chuanxiao Dong ,3,8120399
1978,Al Cooper ,5,7856387
1979,Pratibhasagar V ,1,0
1980,Gwendal Grignou ,5,8766238
1981,"Yuan, Juntao ",1,0
1982,Mika Kuoppala ,134,306410
1983,Vedang Patel ,10,2843121
1984,Christophe Chapuis ,1,0
1985,Andreas Klinger ,1,0
1986,Sumit Rai ,1,0
1987,Kedareswara rao Appana ,32,679698
1988,Andreas Herrmann ,1,0
1989,Otto Kekäläinen ,1,0
1990,Gaurav Minocha ,2,38875211
1991,Eric Auger ,43,824589
1992,"Tautschnig, Michael ",1,0
1993,Tony Nguyen ,4,2277047
1994,Joshua Hay ,1,0
1995,Joel Porquet ,7,5545787
1996,"Lee, Chun-Yi ",4,8455184
1997,Bob Peterson ,34,1189210
1998,Tim Gore ,10,2553658
1999,Petar Jovanovic ,1,0
2000,Carsten Emde ,1,0
2001,Damien Le Moal ,5,2321454
2002,Yigal Korman ,2,21175592
2003,Michael Welling ,12,3452409
2004,Ngai-Mint Kwan ,3,3917274
2005,Feng Li ,1,0
2007,"Reizer, Eyal ",1,0
2008,Vladimir Kondratiev ,52,760652
2009,Pang Raymond ,1,0
2010,Paulo Flabiano Smorigo ,5,9338159
2011,Douglas Miller ,3,6955887
2012,Prashant Sreedharan ,8,2121951
2013,Thierry Escande ,26,53420
2014,Tigran Mkrtchyan ,3,2722665
2015,Steve Dickson ,1,0
2016,Hector Palacios ,1,0
2017,Eyal Reizer ,4,12591072
2018,Chris DeBruin ,1,0
2019,Andrew Zamansky ,1,0
2020,Andrey Pronin ,1,0
2022,Sandeepa Prabhu ,4,1
2023,William Cohen ,2,15130149
2024,Pierre Le Magourou ,3,4
2025,Gaurav Jindal ,1,0
2026,Ian Munsie ,32,1149068
2027,Wilfried Klaebe ,1,0
2028,Vincent Stehle ,1,0
2029,Leonidas S. Barbosa ,1,0
2030,Bob Paauwe ,8,4823026
2031,mathieu.poirier@linaro.org ,1,0
2032,Prasun Maiti ,3,1705692
2033,Graham Moore ,4,8436308
2034,Chen Zhong ,1,0
2035,Lionel Landwerlin ,10,1267048
2036,Kazuki Oikawa ,1,0
2037,Taras Kondratiuk ,1,0
2038,Ville Viinikka ,1,0
2039,Tony Makkiel ,2,3445143
2040,Mat Martineau ,4,4917667
2041,Lans Zhang ,2,2
2042,Alexey Kunitskiy ,1,0
2043,Matthew McClintock ,18,558113
2044,"Yong, Jonathan ",2,6
2045,Ji-Ze Hong (Peter Hong) ,2,1894202
2046,Amadeusz Sławiński ,1,0
2047,Andrey Gusakov ,2,12254627
2049,Bin Liu ,30,1329087
2050,"Cao, Lei ",1,0
2051,Todd Brandt ,1,0
2052,Grant Grundler ,3,11373163
2053,James Patrick-Evans ,2,16999
2054,Daniel Bristot de Oliveira ,10,2664048
2055,Kinglong Mee ,80,445084
2056,Himanshu Madhani ,16,2055907
2057,Sawan Chandak ,9,3496867
2058,Joe Carnuccio ,20,1562531
2059,Giridhar Malavali ,1,0
2060,Manjunath M B ,1,0
2061,Stefan PÃ¶schel ,1,0
2062,arun.siluvery@linux.intel.com ,8,1677446
2063,Shreyas B. Prabhu ,20,1910861
2064,Stewart Smith ,5,4558146
2065,Nathan Fontenot ,15,2660744
2066,Anna-Maria Gleixner ,26,434166
2067,Abhishek Sahu ,2,657
2068,Kiran Patil ,10,2786323
2069,Florian Meier ,2,5425483
2070,Alex Elder ,345,174705
2071,Steve Grubb ,1,0
2072,Alex Hung ,9,1908613
2073,Liu Shuo ,1,0
2074,PC Liao ,8,2650395
2075,Ben Zhang ,11,3628676
2076,Rhyland Klein ,30,798752
2077,Fengguang Wu ,17,1895431
2078,Elad Kanfi ,5,1390414
2079,Joseph Salisbury ,2,8686524
2080,Wen Xiong ,3,15089422
2081,Ben Skeggs ,478,63717
2082,Roy Spliet ,25,1293618
2083,Chris Leech ,2,30175617
2084,Jiancheng Xue ,13,491581
2085,P L Sai Krishna ,1,0
2086,Raghav Dogra ,5,4387937
2087,Jeffrey Lin ,2,4061933
2088,Tom Haynes ,7,820726
2089,Andrew Elble ,9,3404454
2090,Max Kellermann ,8,1212733
2091,Aayush Gupta ,1,0
2092,Masayoshi Mizuma ,1,0
2093,Olli Salonen ,28,1370182
2094,Saso Slavicic ,1,0
2095,Jonathan McDowell ,5,6367121
2096,Nadav Amit ,10,4157045
2097,Peter Oberparleiter ,13,3074699
2098,Jim Gill ,1,0
2099,Manoj N. Kumar ,7,1814989
2100,Douglas Gilbert ,18,1211649
2101,Maurizio Lombardi ,9,2808530
2102,David Tolnay ,1,0
2103,Matthew Leach ,8,521863
2104,Ming Lin ,26,1153873
2105,vchannaiah ,1,0
2106,Kevin Brodsky ,3,41290
2107,Christoph Lameter ,19,1818588
2108,Frank Binns ,4,515239
2109,Awais Belal ,1,0
2110,Walter Mack ,1,0
2111,Mario Limonciello ,7,2236102
2112,Alexandre Bailon ,29,1678590
2113,Len Brown ,64,584948
2114,Jean-Gabriel Gill-Couture ,1,0
2115,Alexander Popov ,7,5530647
2116,Luciano Coelho ,48,807093
2117,Guillermo Rodriguez ,1,0
2118,Ryo Kodama ,3,8976220
2119,Hyong Bin Kim ,1,0
2120,Victor(Weiguo) Pan ,1,0
2121,Rohith Seelaboyina ,1,0
2122,Sylvain Lemieux ,16,878039
2123,Toby DiPasquale ,1,0
2124,Dan O'Donovan ,6,721414
2125,Salvatore Benedetto ,11,2046267
2126,Iwo Mergler ,1,0
2127,Tien Hock Loh ,1,0
2128,John Kacur ,1,0
2129,Zhao Lei ,65,533129
2130,Soeren Moch ,7,1888002
2131,Dmitri Epshtein ,4,3350317
2132,Valentin Longchamp ,1,0
2133,Sriram Dash ,4,4776406
2134,Octavian Purdila ,14,2547144
2135,Dragos Bogdan ,3,10066760
2136,Guennadi Liakhovetski ,6,2580524
2137,Antonio Ospite ,29,1348725
2138,Andrew-CT Chen ,6,2616484
2139,Sinclair Yeh ,21,1460788
2140,Benjamin Berg ,6,4
2141,Shengzhen Li ,11,2719731
2142,Yvain THONNART ,1,0
2143,Ricky Liang ,3,17943604
2144,Tedd Ho-Jeong An ,6,6685371
2145,"Machani, Yaniv ",2,28737831
2146,Aravind Gopalakrishnan ,40,950420
2147,Greg Kurz ,17,2175200
2148,Franklin S Cooper Jr ,31,1007064
2149,Anilkumar Kolli ,6,4539032
2150,Muhammad Hamza Farooq ,7,4190269
2151,Tanmay Jagdale ,2,7444844
2152,viresh kumar ,3,14273915
2153,David Mao ,2,1
2155,yanyang1 ,9,4317205
2156,Edmondo Tommasina ,1,0
2157,Michal Kubecek ,1,0
2158,Quentin Armitage ,2,8783190
2159,Ganapatrao Kulkarni ,5,1793238
2160,Javier González ,17,1261916
2161,Wenwei Tao ,23,903159
2162,Zhangfei Gao ,12,3159482
2163,Peter Meerwald ,15,2750008
2164,Ramesh Shanmugasundaram ,15,813929
2165,Fabien Parent ,15,1903030
2166,"Sajjan, Vikas C ",2,127
2167,Matej Groma ,2,652358
2168,Hugh Sipière ,1,0
2169,Avraham Stern ,18,2170185
2170,Ilan Peer ,10,4099167
2171,Gregory Greenman ,14,2241048
2172,Shannon Zhao ,41,802832
2173,Abhilash Kesavan ,1,0
2174,Golan Ben-Ami ,15,1374231
2175,striebit ,1,0
2176,Matti Gottlieb ,21,1894292
2177,yalin wang ,15,2125645
2178,Bijosh Thykkoottathil ,3,105753
2179,Bruno PrÃ©mont ,1,0
2180,Yijing Wang ,18,2093952
2181,Lukasz Gemborowski ,2,2228133
2182,Conor McLoughlin ,2,24883668
2183,Raveendra Padasalagi ,4,2582169
2184,Subhransu S. Prusty ,73,491827
2185,Alexis Dambricourt ,2,16933566
2186,Chris Smart ,5,1503326
2187,Pavel Tikhomirov ,2,7924453
2188,Torsten Hilbrich ,3,1206226
2189,Garlic Tseng ,10,53714
2190,Chris Phlipot ,18,596740
2191,John Fastabend ,21,1743229
2192,Hemant Kumar ,7,2261891
2193,Luo Yi ,1,0
2194,Priit Laes ,27,1444009
2195,Jonathan Cameron ,18,2174893
2196,Colin Pitrat ,1,0
2197,Pranay Kr. Srivastava ,2,25725351
2198,Raashid Muhammed ,4,772687
2199,Aaron Campbell ,2,513979
2200,Zoltan Kuscsik ,1,0
2201,Peter Antoine ,7,5918957
2202,Geoff Lansberry ,1,0
2203,Florian Vaussard ,9,1298983
2204,Steffen Trumtrar ,10,3808131
2205,Mars Cheng ,6,6070735
2206,Oded Gabbay ,30,1223983
2207,Stefan Hauser ,1,0
2208,Sergio Valverde ,1,0
2209,Matt Corallo ,1,0
2210,Matija Glavinic Pecotic ,1,0
2211,Sami Tolvanen ,9,3504576
2212,Roger Lu ,1,0
2213,João Paulo Rechi Vita ,22,1243398
2214,Ellen Wang ,5,7740395
2215,raveendra padasalagi ,2,966022
2216,Andrei Otcheretianski ,11,3638429
2217,Moritz Sichert ,1,0
2218,Wei Chen ,11,3533418
2219,Shaker Daibes ,1,0
2220,Matthew Finlay ,11,1102810
2221,Russell King - ARM Linux ,1,0
2222,Sony Chacko ,1,0
2223,Andrey Ulanov ,1,0
2224,Soohoon Lee ,1,0
2225,Mateusz Bajorski ,1,0
2226,"Seymour, Shane M ",7,5671939
2227,Ashish Sangwan ,1,0
2228,Martin Willi ,24,1473029
2229,Marek Lindner ,31,1146272
2231,Ivaylo Dimitrov ,20,808195
2232,Pramod Gurav ,7,6182048
2233,Ocean He ,1,0
2234,Amritha Nambiar ,4,2468382
2235,James Ban ,7,5067735
2236,Bruno Herrera ,1,0
2237,Magnus Damm ,46,730157
2238,Samuel Gauthier ,2,9280533
2239,David Barroso ,1,0
2240,Michael Brunner ,2,27889666
2241,Wei Tang ,9,2348481
2242,Ben Copeland ,1,0
2243,"Yu, Ong Hock ",1,0
2244,Nick Leiten ,1,0
2245,Michał Kępień ,28,1206542
2246,Chris Lapa ,7,107
2247,Iago Abal ,3,811245
2248,daniel ,1,0
2249,Helen Fornazier ,1,0
2250,Wang Sheng-Hui ,5,1356087
2251,Jay Vosburgh ,4,6727235
2252,Huang Tao ,2,7
2253,"Huang, Tao ",2,1
2254,Tom Goff ,1,0
2255,Megha Dey ,16,880201
2256,Diego Dorta ,5,259112
2257,David Frey ,1,0
2258,Neerav Parikh ,14,2635417
2259,Shannon Nelson ,76,392204
2260,Serey Kong ,2,22722550
2261,Greg Rose ,13,2854837
2262,Parth Pancholi ,1,0
2263,Patrik Jakobsson ,15,2161688
2264,Sean Nyekjaer ,8,3296526
2265,Crestez Dan Leonard ,26,295164
2266,Yannick Brosseau ,6,6461343
2267,Huw Davies ,19,11
2268,Joel Fernandes ,3,233586
2269,Russ Dill ,1,0
2270,Paul Handrigan ,2,868
2271,Neeraj Badlani ,1,0
2272,Geoff Levand ,14,2544205
2273,Benjamin Marzinski ,9,4568604
2274,Quentin Casasnovas ,2,18630635
2275,Marcelo Tosatti ,8,5149036
2277,Jan Niehusmann ,1,0
2278,Peter Jones ,12,3327010
2279,"Compostella, Jeremy ",2,5189572
2280,Zev Weiss ,1,0
2281,Bich Hemon ,7,1756344
2282,Tina Ruchandani ,15,2375607
2283,Gil Rockah ,1,0
2285,Fugang Duan ,14,2561405
2286,Stephan Linz ,7,100207
2287,Ioana Radulescu ,1,0
2288,Bharat Bhushan ,1,0
2289,Helen Koike ,7,71926
2290,Yegor Yefremov ,14,2672627
2292,Alexandr Petrenko ,1,0
2293,Charanya Venkatraman ,1,0
2294,Hiromitsu Yamasaki ,1,0
2295,Christophe Ricard ,130,256295
2296,Stefan Berger ,7,2707793
2297,Christophe RICARD ,26,609998
2298,Xiaolong Wang ,1,0
2299,Anthony Romano ,1,0
2300,Evgeniy Borisov ,6,1276871
2301,Jeffrey Carlyle ,8,606955
2302,Frank Rowand ,4,4355367
2303,Kumar Gala ,3,18272200
2304,Weston Andros Adamson ,5,996230
2305,Jaroslav Kysela ,2,609344
2306,Zheng Lv ,2,262290
2307,Arturo Borrero ,1,0
2308,Woodrow Shen ,6,5790362
2309,Dmitrii Tcvetkov ,1,0
2310,Taeung Song ,41,773233
2311,Michael Scott ,13,3727364
2312,Haozhong Zhang ,17,1734710
2313,Faisal Latif ,23,1520053
2314,Ashutosh Dixit ,18,1337188
2315,Dotan Barak ,1,0
2317,Marc MERLIN ,1,0
2318,Shivani Bhardwaj ,76,305373
2319,Ed Spiridonov ,3,4798156
2320,Jimmy Assarsson ,1,0
2321,Cristina Ciocan ,7,1149097
2322,Jayachandran B ,8,2025861
2323,Simon Trimmer ,1,0
2324,Joonyoung Shim ,56,594137
2325,Lukasz Luba ,2,1780301
2326,MyungJoo Ham ,8,3517460
2327,Cai Zhiyong ,1,0
2328,Ralf Gerbig ,1,0
2329,Koehrer Mathias (ETAS/ESW5) ,1,0
2330,Shaokun Zhang ,1,0
2331,Kenny Yu ,2,3540
2332,Christian Gmeiner ,1,0
2333,Yang Shi ,44,528064
2334,Zhilong Liu ,1,0
2335,Gary Bisson ,23,1224360
2336,Sricharan R ,17,700528
2337,Guohua Zhong ,1,0
2338,Michał Winiarski ,8,3593055
2339,Yann Droneaud ,7,5130586
2340,Jun He ,1,0
2341,Qianqian Xie ,11,782315
2342,Vardan Mikayelyan ,16,719833
2343,Li Yang ,4,6279218
2345,Roman Volkov ,4,4763700
2346,akam kumar bharathi ,1,0
2347,Sergey Cheremencev ,1,0
2348,Alex Zhuravlev ,1,0
2349,Bruno Faccini ,6,4826901
2350,Thomas Graziadei ,1,0
2351,David Miller ,5,7727829
2352,stuart hayes ,1,0
2353,Chris J Arges ,7,4815365
