author,times,average
Netanel Belgazal ,1,0
Sven Van Asbroeck ,1,0
Steffen Maier ,10,0
Greg Edwards ,1,0
Riku Voipio ,13,3407361
Jacopo Mondi ,17,1168661
Sumit Semwal ,3,19753088
Marcel Ziswiler ,36,1147978
Marcus Cooper ,28,1514222
Julius Niedworok ,2,51
Michael Turquette ,21,1819517
Jason Gerecke ,51,823429
Roman Pen ,5,6977571
Joe Lawrence ,6,3259166
Max Staudt ,1,0
Janusz Dziedzic ,23,1964619
Xerox Lin ,1,0
Mathieu Laurendeau ,1,0
Binyamin Sharet ,1,0
Winter Wang ,1,0
Austin Christ ,1,0
Alexey Kodanev ,2,38157361
Peter Senna Tschudin ,22,1803240
Martynas Pumputis ,1,0
Adam Barth ,2,17557393
Yinghai Lu ,16,2529628
Harini Katakam ,8,5666883
Steve Capper ,6,5430703
Dave Weinstein ,1,0
Jay Cornwall ,4,8642373
Mike Travis ,23,1299993
Georgi Dobrev ,2,11289734
pan xinhui ,2,14526279
Juri Lelli ,5,6958981
Giovanni Gherdovich ,1,0
Toshiaki Makita ,12,3418319
Zefan Li ,1,0
Tom Yan ,15,427293
Mathias Koehrer ,1,0
Nobuo Iwata ,4,3248156
Jaewon Kim ,4,10525708
Marc Ohlf ,1,0
Xiao Han ,1,0
Cristian Birsan ,6,3429266
Will Thomas ,4,1
Govindraj Raja ,3,6991289
Yanjiang Jin ,2,7951636
Cornelia Huck ,7,5799473
Mahesh Salgaonkar ,12,2899837
Guneshwor Singh ,5,4034965
Philippe Bergheaud ,8,4257218
Alastair D'Silva ,3,814141
"Cooper Jr., Franklin ",8,1177199
Vittorio Gambaletta (VittGam) ,4,4261697
Piotr Karasinski ,1,0
Bartlomiej Zolnierkiewicz ,59,641357
Tuomas Tynkkynen ,16,2246051
Simon Wunderlich ,31,1261162
Matthias Schiffer ,11,2422226
Markus Pargmann ,79,510295
Antonio Quartulli ,38,1022563
Alexey Kardashevskiy ,73,509979
Dave Carroll ,2,2326651
Michal Soltys ,7,555630
Sathya Perla ,10,4388075
Julian Anastasov ,20,1883725
Andreas Ziegler ,10,1882740
Daniel Kurtz ,13,3127869
Yendapally Reddy Dhananjaya Reddy ,25,884155
Pali Rohár ,50,796044
Leo Liu ,15,2663611
Eric Huang ,75,269408
Andreas Färber ,22,747356
Alexander Kurz ,7,1687793
Alexey Klimov ,18,2022670
Senthilnathan Veppur ,8,1841589
Ramesh Babu ,6,8275873
Kranthi G ,1,0
Sheng-Hui J. Chu ,1,0
Robert Deliën ,1,0
Lubomir Rintel ,11,3680395
Keith Packard ,3,16802394
Heiko Stübner ,23,1698868
Michele Di Giorgio ,3,6312779
Akshay Adiga ,5,2173432
Terry Heo ,2,22703916
Alexey Obitotskiy ,2,1507539
David Forster ,1,0
Ian Wienand ,1,0
Hiraku Toyooka ,4,11375647
Jackson Chang ,1,0
Allen Hubbe ,30,1191775
Logan Gunthorpe ,14,72
Masashi Honma ,5,779529
AceLan Kao ,3,2728051
Yoshinori Sato ,54,747613
John Pittman ,1,0
Paolo Valente ,2,21349628
Hou Tao ,2,1366565
Moni Shoua ,27,1397258
Kamil Debski ,8,3981616
Huang Shijie ,11,2798541
Roland Dreier ,14,2847789
Siva Reddy Kallam ,3,7619912
Satish Baddipadige ,5,4742082
Jarno Rajahalme ,14,942661
Mika Penttilä ,4,5462245
Maital Hahn ,2,1336309
KT Liao ,2,5390370
Robert Dolca ,12,2219052
Petr Tesarik ,2,0
Vitaly Andrianov ,8,4943994
Ryusuke Konishi ,38,630267
Vikram Mulukutla ,1,0
Chen Gang ,24,1702956
Minchan Kim ,47,617864
piaojun ,5,1615791
Gang He ,7,1914556
Don Hiatt ,1,0
Grzegorz Heldt ,1,0
Antoine Tenart ,56,698886
Alim Akhtar ,40,714321
Tom Zanussi ,31,722744
Slava Shwartsman ,1,0
Hariprasad S ,55,668847
Mayeul Cantan ,1,0
George Spelvin ,16,2264003
Mikko Perttunen ,12,3582445
Chun-Hao Lin ,12,1712068
ZhengYuan Liu ,1,0
Asias He ,9,2615337
xypron.glpk@gmx.de ,23,820644
Sam Bobroff ,2,30001511
Andrew Jones ,3,2586901
David Matlack ,6,7699388
Robbie Ko ,4,52
Alexander Stein ,19,2215382
Anshuman Khandual ,39,956455
Ingo Tuchscherer ,6,6947863
Maarten ter Huurne ,14,1006470
Sylvain Etienne ,1,0
Iosif Harutyunov ,1,0
Slava Grigorev ,8,2762806
SF Markus Elfring ,2,28406534
Nitin Gupta ,4,7715489
Maxim Patlasov ,3,6924452
Alexey Kuznetsov ,1,0
Hans-Christian Noren Egtvedt ,2,0
Vincent StehlÃ© ,1,0
Zhou Chengming ,3,11243748
Dennis Chen ,3,2403302
Ganesh Mahendran ,8,0
Scott Bauer ,2,2988093
Richard Cochran ,52,728090
Benoît Thébaudeau ,7,4358111
Cameron Gutman ,5,1319300
Gjorgji Rosikopulos ,11,1693781
Hiroyuki Yokoyama ,1,0
Tony Camuso ,2,15115726
Libor Pechacek ,2,19816896
Sam Mendoza-Jonas ,2,2
Li RongQing ,20,2094390
nimisolo ,1,0
He Chunhui ,1,0
Marcin Mielniczuk ,1,0
Henning Schild ,1,0
Song Shan Gong ,1,0
Chandan Rajendra ,19,1338278
Hans van Kranenburg ,1,0
Vasundhara Volam ,5,9576247
Cathy Avery ,3,12611349
Georgi Djakov ,18,1953367
Ritesh Harjani ,1,0
Dong Aisheng ,49,812483
Bojan Prtvar ,2,3
Chaotian Jing ,24,1521510
Jérôme Forissier ,1,0
Chuanxiao Dong ,3,8120399
Al Cooper ,5,7856387
Pratibhasagar V ,1,0
Gwendal Grignou ,5,8766238
"Yuan, Juntao ",1,0
Mika Kuoppala ,134,306410
Vedang Patel ,10,2843121
Christophe Chapuis ,1,0
Andreas Klinger ,1,0
Sumit Rai ,1,0
Kedareswara rao Appana ,32,679698
Andreas Herrmann ,1,0
Otto Kekäläinen ,1,0
Gaurav Minocha ,2,38875211
Eric Auger ,43,824589
"Tautschnig, Michael ",1,0
Tony Nguyen ,4,2277047
Joshua Hay ,1,0
Joel Porquet ,7,5545787
"Lee, Chun-Yi ",4,8455184
Bob Peterson ,34,1189210
Tim Gore ,10,2553658
Petar Jovanovic ,1,0
Carsten Emde ,1,0
Damien Le Moal ,5,2321454
Yigal Korman ,2,21175592
Michael Welling ,12,3452409
Ngai-Mint Kwan ,3,3917274
Feng Li ,1,0
Ryan Lim ,3,0
"Reizer, Eyal ",1,0
Vladimir Kondratiev ,52,760652
Pang Raymond ,1,0
Paulo Flabiano Smorigo ,5,9338159
Douglas Miller ,3,6955887
Prashant Sreedharan ,8,2121951
Thierry Escande ,26,53420
Tigran Mkrtchyan ,3,2722665
Steve Dickson ,1,0
Hector Palacios ,1,0
Eyal Reizer ,4,12591072
Chris DeBruin ,1,0
Andrew Zamansky ,1,0
Andrey Pronin ,1,0
apronin@chromium.org ,2,0
Sandeepa Prabhu ,4,1
William Cohen ,2,15130149
Pierre Le Magourou ,3,4
Gaurav Jindal ,1,0
Ian Munsie ,32,1149068
Wilfried Klaebe ,1,0
Vincent Stehle ,1,0
Leonidas S. Barbosa ,1,0
Bob Paauwe ,8,4823026
mathieu.poirier@linaro.org ,1,0
Prasun Maiti ,3,1705692
Graham Moore ,4,8436308
Chen Zhong ,1,0
Lionel Landwerlin ,10,1267048
Kazuki Oikawa ,1,0
Taras Kondratiuk ,1,0
Ville Viinikka ,1,0
Tony Makkiel ,2,3445143
Mat Martineau ,4,4917667
Lans Zhang ,2,2
Alexey Kunitskiy ,1,0
Matthew McClintock ,18,558113
"Yong, Jonathan ",2,6
Ji-Ze Hong (Peter Hong) ,2,1894202
Amadeusz Sławiński ,1,0
Andrey Gusakov ,2,12254627
Dongpo Li ,3,0
Bin Liu ,30,1329087
"Cao, Lei ",1,0
Todd Brandt ,1,0
Grant Grundler ,3,11373163
James Patrick-Evans ,2,16999
Daniel Bristot de Oliveira ,10,2664048
Kinglong Mee ,80,445084
Himanshu Madhani ,16,2055907
Sawan Chandak ,9,3496867
Joe Carnuccio ,20,1562531
Giridhar Malavali ,1,0
Manjunath M B ,1,0
Stefan PÃ¶schel ,1,0
arun.siluvery@linux.intel.com ,8,1677446
Shreyas B. Prabhu ,20,1910861
Stewart Smith ,5,4558146
Nathan Fontenot ,15,2660744
Anna-Maria Gleixner ,26,434166
Abhishek Sahu ,2,657
Kiran Patil ,10,2786323
Florian Meier ,2,5425483
Alex Elder ,345,174705
Steve Grubb ,1,0
Alex Hung ,9,1908613
Liu Shuo ,1,0
PC Liao ,8,2650395
Ben Zhang ,11,3628676
Rhyland Klein ,30,798752
Fengguang Wu ,17,1895431
Elad Kanfi ,5,1390414
Joseph Salisbury ,2,8686524
Wen Xiong ,3,15089422
Ben Skeggs ,478,63717
Roy Spliet ,25,1293618
Chris Leech ,2,30175617
Jiancheng Xue ,13,491581
P L Sai Krishna ,1,0
Raghav Dogra ,5,4387937
Jeffrey Lin ,2,4061933
Tom Haynes ,7,820726
Andrew Elble ,9,3404454
Max Kellermann ,8,1212733
Aayush Gupta ,1,0
Masayoshi Mizuma ,1,0
Olli Salonen ,28,1370182
Saso Slavicic ,1,0
Jonathan McDowell ,5,6367121
Nadav Amit ,10,4157045
Peter Oberparleiter ,13,3074699
Jim Gill ,1,0
Manoj N. Kumar ,7,1814989
Douglas Gilbert ,18,1211649
Maurizio Lombardi ,9,2808530
David Tolnay ,1,0
Matthew Leach ,8,521863
Ming Lin ,26,1153873
vchannaiah ,1,0
Kevin Brodsky ,3,41290
Christoph Lameter ,19,1818588
Frank Binns ,4,515239
Awais Belal ,1,0
Walter Mack ,1,0
Mario Limonciello ,7,2236102
Alexandre Bailon ,29,1678590
Len Brown ,64,584948
Jean-Gabriel Gill-Couture ,1,0
Alexander Popov ,7,5530647
Luciano Coelho ,48,807093
Guillermo Rodriguez ,1,0
Ryo Kodama ,3,8976220
Hyong Bin Kim ,1,0
Victor(Weiguo) Pan ,1,0
Rohith Seelaboyina ,1,0
Sylvain Lemieux ,16,878039
Toby DiPasquale ,1,0
Dan O'Donovan ,6,721414
Salvatore Benedetto ,11,2046267
Iwo Mergler ,1,0
Tien Hock Loh ,1,0
John Kacur ,1,0
Zhao Lei ,65,533129
Soeren Moch ,7,1888002
Dmitri Epshtein ,4,3350317
Valentin Longchamp ,1,0
Sriram Dash ,4,4776406
Octavian Purdila ,14,2547144
Dragos Bogdan ,3,10066760
Guennadi Liakhovetski ,6,2580524
Antonio Ospite ,29,1348725
Andrew-CT Chen ,6,2616484
Sinclair Yeh ,21,1460788
Benjamin Berg ,6,4
Shengzhen Li ,11,2719731
Yvain THONNART ,1,0
Ricky Liang ,3,17943604
Tedd Ho-Jeong An ,6,6685371
"Machani, Yaniv ",2,28737831
Aravind Gopalakrishnan ,40,950420
Greg Kurz ,17,2175200
Franklin S Cooper Jr ,31,1007064
Anilkumar Kolli ,6,4539032
Muhammad Hamza Farooq ,7,4190269
Tanmay Jagdale ,2,7444844
viresh kumar ,3,14273915
David Mao ,2,1
Alex Xie ,3,0
yanyang1 ,9,4317205
Edmondo Tommasina ,1,0
Michal Kubecek ,1,0
Quentin Armitage ,2,8783190
Ganapatrao Kulkarni ,5,1793238
Javier González ,17,1261916
Wenwei Tao ,23,903159
Zhangfei Gao ,12,3159482
Peter Meerwald ,15,2750008
Ramesh Shanmugasundaram ,15,813929
Fabien Parent ,15,1903030
"Sajjan, Vikas C ",2,127
Matej Groma ,2,652358
Hugh Sipière ,1,0
Avraham Stern ,18,2170185
Ilan Peer ,10,4099167
Gregory Greenman ,14,2241048
Shannon Zhao ,41,802832
Abhilash Kesavan ,1,0
Golan Ben-Ami ,15,1374231
striebit ,1,0
Matti Gottlieb ,21,1894292
yalin wang ,15,2125645
Bijosh Thykkoottathil ,3,105753
Bruno PrÃ©mont ,1,0
Yijing Wang ,18,2093952
Lukasz Gemborowski ,2,2228133
Conor McLoughlin ,2,24883668
Raveendra Padasalagi ,4,2582169
Subhransu S. Prusty ,73,491827
Alexis Dambricourt ,2,16933566
Chris Smart ,5,1503326
Pavel Tikhomirov ,2,7924453
Torsten Hilbrich ,3,1206226
Garlic Tseng ,10,53714
Chris Phlipot ,18,596740
John Fastabend ,21,1743229
Hemant Kumar ,7,2261891
Luo Yi ,1,0
Priit Laes ,27,1444009
Jonathan Cameron ,18,2174893
Colin Pitrat ,1,0
Pranay Kr. Srivastava ,2,25725351
Raashid Muhammed ,4,772687
Aaron Campbell ,2,513979
Zoltan Kuscsik ,1,0
Peter Antoine ,7,5918957
Geoff Lansberry ,1,0
Florian Vaussard ,9,1298983
Steffen Trumtrar ,10,3808131
Mars Cheng ,6,6070735
Oded Gabbay ,30,1223983
Stefan Hauser ,1,0
Sergio Valverde ,1,0
Matt Corallo ,1,0
Matija Glavinic Pecotic ,1,0
Sami Tolvanen ,9,3504576
Roger Lu ,1,0
João Paulo Rechi Vita ,22,1243398
Ellen Wang ,5,7740395
raveendra padasalagi ,2,966022
Andrei Otcheretianski ,11,3638429
Moritz Sichert ,1,0
Wei Chen ,11,3533418
Shaker Daibes ,1,0
Matthew Finlay ,11,1102810
Russell King - ARM Linux ,1,0
Sony Chacko ,1,0
Andrey Ulanov ,1,0
Soohoon Lee ,1,0
Mateusz Bajorski ,1,0
"Seymour, Shane M ",7,5671939
Ashish Sangwan ,1,0
Martin Willi ,24,1473029
Marek Lindner ,31,1146272
Eric Richter ,8,0
Ivaylo Dimitrov ,20,808195
Pramod Gurav ,7,6182048
Ocean He ,1,0
Amritha Nambiar ,4,2468382
James Ban ,7,5067735
Bruno Herrera ,1,0
Magnus Damm ,46,730157
Samuel Gauthier ,2,9280533
David Barroso ,1,0
Michael Brunner ,2,27889666
Wei Tang ,9,2348481
Ben Copeland ,1,0
"Yu, Ong Hock ",1,0
Nick Leiten ,1,0
Michał Kępień ,28,1206542
Chris Lapa ,7,107
Iago Abal ,3,811245
daniel ,1,0
Helen Fornazier ,1,0
Wang Sheng-Hui ,5,1356087
Jay Vosburgh ,4,6727235
Huang Tao ,2,7
"Huang, Tao ",2,1
Tom Goff ,1,0
Megha Dey ,16,880201
Diego Dorta ,5,259112
David Frey ,1,0
Neerav Parikh ,14,2635417
Shannon Nelson ,76,392204
Serey Kong ,2,22722550
Greg Rose ,13,2854837
Parth Pancholi ,1,0
Patrik Jakobsson ,15,2161688
Sean Nyekjaer ,8,3296526
Crestez Dan Leonard ,26,295164
Yannick Brosseau ,6,6461343
Huw Davies ,19,11
Joel Fernandes ,3,233586
Russ Dill ,1,0
Paul Handrigan ,2,868
Neeraj Badlani ,1,0
Geoff Levand ,14,2544205
Benjamin Marzinski ,9,4568604
Quentin Casasnovas ,2,18630635
Marcelo Tosatti ,8,5149036
Simon Xue ,2,0
Jan Niehusmann ,1,0
Peter Jones ,12,3327010
"Compostella, Jeremy ",2,5189572
Zev Weiss ,1,0
Bich Hemon ,7,1756344
Tina Ruchandani ,15,2375607
Gil Rockah ,1,0
Yevgeny Petrilin ,2,0
Fugang Duan ,14,2561405
Stephan Linz ,7,100207
Ioana Radulescu ,1,0
Bharat Bhushan ,1,0
Helen Koike ,7,71926
Yegor Yefremov ,14,2672627
"Chuah, Kim Tatt ",3,0
Alexandr Petrenko ,1,0
Charanya Venkatraman ,1,0
Hiromitsu Yamasaki ,1,0
Christophe Ricard ,130,256295
Stefan Berger ,7,2707793
Christophe RICARD ,26,609998
Xiaolong Wang ,1,0
Anthony Romano ,1,0
Evgeniy Borisov ,6,1276871
Jeffrey Carlyle ,8,606955
Frank Rowand ,4,4355367
Kumar Gala ,3,18272200
Weston Andros Adamson ,5,996230
Jaroslav Kysela ,2,609344
Zheng Lv ,2,262290
Arturo Borrero ,1,0
Woodrow Shen ,6,5790362
Dmitrii Tcvetkov ,1,0
Taeung Song ,41,773233
Michael Scott ,13,3727364
Haozhong Zhang ,17,1734710
Faisal Latif ,23,1520053
Ashutosh Dixit ,18,1337188
Dotan Barak ,1,0
Talat Batheesh ,2,0
Marc MERLIN ,1,0
Shivani Bhardwaj ,76,305373
Ed Spiridonov ,3,4798156
Jimmy Assarsson ,1,0
Cristina Ciocan ,7,1149097
Jayachandran B ,8,2025861
Simon Trimmer ,1,0
Joonyoung Shim ,56,594137
Lukasz Luba ,2,1780301
MyungJoo Ham ,8,3517460
Cai Zhiyong ,1,0
Ralf Gerbig ,1,0
Koehrer Mathias (ETAS/ESW5) ,1,0
Shaokun Zhang ,1,0
Kenny Yu ,2,3540
Christian Gmeiner ,1,0
Yang Shi ,44,528064
Zhilong Liu ,1,0
Gary Bisson ,23,1224360
Sricharan R ,17,700528
Guohua Zhong ,1,0
Michał Winiarski ,8,3593055
Yann Droneaud ,7,5130586
Jun He ,1,0
Qianqian Xie ,11,782315
Vardan Mikayelyan ,16,719833
Li Yang ,4,6279218
Jack Miller ,2,0
Roman Volkov ,4,4763700
akam kumar bharathi ,1,0
Sergey Cheremencev ,1,0
Alex Zhuravlev ,1,0
Bruno Faccini ,6,4826901
Thomas Graziadei ,1,0
David Miller ,5,7727829
stuart hayes ,1,0
Chris J Arges ,7,4815365
Wei Yuan ,2,11486204
Jeff Garzik ,1,0
Konrad Leszczynski ,2,4591837
Maximilian Schneider ,4,1207704
Wolfgang Grandegger ,1,0
Basil Gunn ,1,0
Naveen Kaje ,1,0
Fenghua Yu ,4,2812388
Chris Cesare ,2,0
Nikita Eshkeev ,2,4243505
Brian Welty ,2,0
Zygo Blaxell ,2,3640191
Janusz Krzysztofik ,2,7336
Matt Flax ,1,0
Mika Båtsman ,1,0
Lakhvich Dmitriy ,3,11631994
Eugene Crosser ,20,1798679
Vincent Palatin ,5,5539706
Fabien Siron ,2,574466
Arend van Spriel ,54,658724
Wright Feng ,3,7
Chris Brand ,10,152387
Jie Qiu ,3,1768890
Niklas SÃ¶derlund ,1,0
Hendrik Brueckner ,24,1239993
"Ocquidant, Sebastien ",1,0
Libin Yang ,32,1100910
Yunhong Jiang ,4,1
Yang Zhang ,1,0
Martin Habets ,3,9765704
Rashmica Gupta ,19,973200
Ying Xue ,16,2352413
Philip Prindeville ,1,0
Christopher Spinrath ,6,894038
Valentin Raevsky ,1,0
Liviu Dudau ,28,1248145
Paul Bolle ,8,3878745
Wan Zongshun ,7,3268537
Kailang Yang ,12,3140723
Rui Zhang ,1,0
Tan Jui Nee ,1,0
James Bottomley ,17,2086541
"Su, Xuemin ",1,0
Feng Tang ,3,15657396
Hannes Frederic Sowa ,54,630295
Greg Hackmann ,10,1319600
Wei-Ning Huang ,7,4790220
plr.vincent@gmail.com ,1,0
Oscar ,1,0
Bharata B Rao ,3,12099547
Lars Ellenberg ,46,386828
Roland Kammerer ,3,8703634
Philipp Reisner ,9,2175908
Jean-Michel Hautbois ,4,6828693
Andres Rodriguez ,1,0
Xiao Ni ,1,0
Jérôme Glisse ,8,4320515
Ruud Derwig ,2,30640496
Ajit Pandey ,1,0
Daniel van Gerpen ,1,0
Junichi Nomura ,10,2591828
Ankitprasad Sharma ,3,6898145
Krzysztof Błaszkowski ,8,148793
Armen Baloyan ,1,0
Lina Iyer ,9,4442498
Adriana Reus ,24,1367161
"Markezana, William ",1,0
Rajesh Bhagat ,8,2912620
Juergen Borleis ,12,2808287
Manuel Lauss ,6,4395561
Pramod Kumar ,18,1158076
Zi Shen Lim ,11,1879639
Manfred Schlaegl ,5,7077841
Chris Blake ,1,0
Jayachandran C ,13,2125189
Weongyo Jeong ,3,3204351
Jianyu Zhan ,4,2706075
Jean Guyomarc'h ,1,0
Claudio Fontana ,1,0
Robert P. J. Day ,3,16283653
Marek Belisko ,11,3447683
Jonghwa Lee ,3,15827431
Beomho Seo ,2,32415407
Alexander Yarygin ,6,1622272
Shahar Klein ,1,0
Eli Sennesh ,5,3674328
Marti Bolivar ,5,13872296
Eric Caruso ,2,20094294
Zhaoxiu Zeng ,3,2201209
Cong Wang ,4,9768445
Damien Riegel ,36,441953
Alessandro Radicati ,2,66
Kirtika Ruchandani ,2,31
Shweta Choudaha ,2,2007
Alison Wang ,5,7553780
Murali Karicheri ,29,1123925
Rafal Krypa ,3,16073974
Dennis Wassenberg ,1,0
H. Peter Anvin ,11,7482
Matthew Gerlach ,2,27816711
Jeff Moyer ,11,3428152
Sunad Bhandary ,2,25377623
Jason Low ,14,2639379
Helmut Grohne ,1,0
Iban Rodriguez ,4,7198510
LEROY Christophe ,46,795447
hongkun.cao ,2,690955
Pau Espin Pedrol ,1,0
Tobin C Harding ,3,25943
Lidza Louina ,1,0
Li Dongyang ,2,5965206
Michał Pecio ,3,13545129
ayaka ,4,2765
Nicolas Dufresne ,1,0
Achiad Shochat ,60,529574
Max Gurtovoy ,2,1
Bob Ham ,2,1
Herve Jourdain ,1,0
Feifei Xu ,8,48296
Dr. David Alan Gilbert ,2,22260226
Mike Danese ,2,226338
Serge E. Hallyn ,3,1198120
"Fu, Zhonghui ",7,5427567
Michal Schmidt ,13,2469533
Khem Raj ,2,32856493
Adrian Chadd ,1,0
Christian Daudt ,3,1029710
Lauri Kasanen ,1,0
Venkat Prashanth B U ,1,0
Yangbo Lu ,13,2654526
Vitaly Wool ,2,1202665
Corey Minyard ,17,1480072
Guillermo Julián Moreno ,1,0
Andy Deng ,1,0
Olliver Schinagl ,13,1902920
Chanho Min ,7,732679
Kai Huang ,2,18240848
Jaewon ,1,0
Yong Li ,6,5137694
Julien Grall ,68,479599
Nicholas Krause ,34,994847
Franky Lin ,13,2691939
Gaurav Jindal (Gaurav Jindal) ,1,0
Kangjie Lu ,10,290803
Yunlong Song ,6,3926323
Joshua Henderson ,14,953955
Dmitry Bilunov ,1,0
Raja Mani ,53,596789
Masaru Nagai ,4,5715376
Martin K. Petersen ,28,1259283
Kazuya Mizuguchi ,15,2268971
Andrew Goodbody ,5,2570502
Bastien Nocera ,7,4506677
"Kumar, Mahesh ",8,3348509
Roderick Colenbrander ,1,0
Mathieu Larouche ,3,12185346
Sagar Arun Kamble ,13,1873786
wangyunjian ,1,0
Troy Kisky ,10,3398182
Chen Haiquan ,1,0
Anup Patel ,24,870998
Jean-Jacques Hiblot ,1,0
Simran Rai ,7,3215467
Stephen Smalley ,17,1953823
"Kanchanapally, Vidyullatha ",2,3044581
Naveen Krishna Chatradhi ,1,0
Cristian Stoica ,1,0
Krzysztof Opasiak ,27,1041548
Vahram Aharonyan ,3,1428380
Jim Lodes ,4,995874
Piotr Stankiewicz ,2,0
Robert Richter ,15,2238332
Taehee Yoo ,15,2398555
Akshay Bhat ,16,1087652
Baozeng Ding ,2,381753
Pooya Keshavarzi ,1,0
Benson Leung ,7,5507994
Antony Pavlov ,18,1462066
Stephen Just ,3,13324837
Pavel Rojtberg ,14,2260282
Rajneesh Bhardwaj ,1,0
Marco Trevisan (Treviño) ,1,0
Jaap Jan Meijer ,1,0
Antonio Murdaca ,5,7736650
Dan Streetman ,54,622153
Erico Nunes ,1,0
Moritz Fischer ,24,1112516
Glenn Dayton ,1,0
Zhang Zhuoyu ,1,0
Nicholas D Steeves ,1,0
Roman Kagan ,1,0
Tom Lendacky ,19,1747339
Honggang Li ,1,0
Heiko Schocher ,10,3532943
z00189512 ,1,0
Stefano Stabellini ,24,1359952
Dom Cote ,2,0
Oleksandr Natalenko ,2,5295508
Wang Xiaoqiang ,6,2227772
Tomáš Trnka ,1,0
Matt Gumbel ,1,0
Ramalingam C ,8,4229789
Tomas Bzatek ,1,0
Cristina Moraru ,38,548092
Tiberiu Breana ,19,1809517
Nicolas Chauvet ,6,4733553
Thomas Koeller ,1,0
Sam Ravnborg ,8,3544036
Heloise ,1,0
"Du, Changbin ",15,927550
René Nyffenegger ,2,1940154
Janis Danisevskis ,1,0
Richard W.M. Jones ,2,1362097
Stefan Bader ,2,12260116
Yu Zhao ,3,11020291
Weijie Yang ,2,10905458
Ming Li ,1,0
Chen Yucong ,3,4650253
Neil Horman ,27,1052497
Rafal Redzimski ,2,3213287
Soumya PN ,1,0
Chris Ryder ,2,0
Matt Evans ,1,0
Qianyu Gong ,1,0
Nicolas Boullis ,2,0
Sergey Yanovich ,1,0
Andres Lagar-Cavilla ,1,0
Li Zhang ,4,9459607
Yaowei Bai ,75,296737
Li Peng ,2,17708200
Jun Piao ,2,5624218
Alden Tondettar ,4,667909
Daniel Hung-yu Wu ,1,0
Andy Honig ,1,0
Pankaj Gupta ,2,28466437
Shirley Ma ,3,13047874
Stefan Metzmacher ,4,0
Dawei Chien ,1,0
Ulises Brindis ,2,24025288
Andy Champ ,1,0
Boris BREZILLON ,138,243601
Chenhui Zhao ,1,0
"Samudrala, Sridhar ",3,15751254
David Bond ,1,0
tom will ,2,354
Pantelis Antoniou ,5,7813910
Ken Sumrall ,1,0
Scott Talbert ,1,0
chenhui zhao ,8,2616980
Hou Zhiqiang ,7,3917006
Ajit Khaparde ,4,2717776
Qiang Huang ,1,0
Knud Poulsen ,3,20
Nigel Croxon ,1,0
Ashish Shah ,1,0
Akeem G Abodunrin ,4,5869798
Kevin Scott ,4,6100030
Guy Levi ,1,0
Hans Westgaard Ry ,3,4086348
Brian Walsh ,1,0
Tony Wu ,2,32558
Lauro Costa ,1,0
Sashka Nochkin ,1,0
Aurelien Jarno ,4,6734902
Emil Velikov ,38,42476
Leonid Yegoshin ,7,4704077
Martin Schiller ,3,7127737
Simon Arlott ,23,804832
Andrei Pistirica ,4,2133574
Markos Chandras ,55,522674
Alban Bedel ,62,540901
Arnaud Mouiche ,6,0
Jeremy McDermond ,7,346205
Dan Fuhry ,1,0
Nick Hoath ,25,1436642
Tom O'Rourke ,1,0
Mans Rullgard ,39,542681
Jeremy Compostella ,2,458461
Dmitry V. Levin ,11,1371809
Riccardo Bortolato ,1,0
hchrzani ,1,0
Vik Heyndrickx ,1,0
Chaitra P B ,6,43
wang yanqing ,3,448
Charlie Mooney ,3,14592101
Clinton Sprain ,1,0
Aaron Durbin ,1,0
Gene Chen ,1,0
Harish Kasiviswanathan ,1,0
Sonny Jiang ,11,2960800
Michele Curti ,5,7146097
Christophe Lombard ,11,1877096
Lennart Sorensen ,1,0
Chandan Kumar ,2,1
Laurent Vivier ,4,5223964
Petros Koutoupis ,1,0
Shaohui Xie ,17,1730425
Dirk Gouders ,3,6729
Pardha Saradhi K ,1,0
Azriel Samson ,2,9197615
Mordechai Goodstein ,1,0
Wang Hongcheng ,5,1174168
Julian Scheel ,6,5750071
Yura Pakhuchiy ,1,0
Laurence Oberman ,1,0
Imran Haider ,1,0
Taku Izumi ,38,605285
Robin Humble ,1,0
Michael Thalmeier ,10,288058
Helmut Schaa ,8,2841347
Alejandro Torrado ,1,0
Chris Diamand ,2,8867166
Michael Haas ,1,0
Dave Wysochanski ,1,0
Bruno Carvalho ,2,0
Alexander Curtin ,14,278514
Joshua Kinard ,4,9290517
Andreas Ruprecht ,4,9395493
Nikolay Martynov ,1,0
Andreas Gröger ,3,15946324
Nikita Edward Baruzdin ,1,0
Alexander Gerasiov ,1,0
Kenneth Graunke ,1,0
Tal Zilcer ,1,0
Courtney Cavin ,6,4792549
Franck Jullien ,2,2752481
Satoshi Nagahama ,1,0
Marc Angel ,1,0
Jon Maxwell ,3,13043675
Kevin Fitch ,1,0
Andrea Adami ,1,0
Mike Williams ,3,222
Austin S. Hemmelgarn ,1,0
Haggai Abramovsky ,4,3036439
Lawrence Yiu ,1,0
Howard Cochran ,2,2007835
Dinko Mironov ,1,0
Brad Mouring ,2,0
Wang YanQing ,6,5345410
Konstantin Shkolnyy ,11,1476906
Yuyang Du ,16,1589119
Mitchell Tasman ,1,0
Moritz Kühner ,2,3
Mykola Lysenko ,8,1748116
rezhu ,5,5640832
Bas Nieuwenhuizen ,2,22563112
Sai Gurrappadi ,1,0
Arjun Sreedharan ,1,0
Florian Euchner ,1,0
